編號,案類,發生日期,發生時間,發生地點
175,機車竊盜,1050613,2058,臺中市西屯區忠義街
176,機車竊盜,1050614,0057,臺中市大里區永興路302巷
177,機車竊盜,1050614,0750,臺中市西區福龍街
178,機車竊盜,1050614,1113,臺中市太平區太平路
179,機車竊盜,1050614,1930,臺中市南區大慶街2段
180,機車竊盜,1050615,1130,臺中市太平區太平路
181,機車竊盜,1050615,1900,臺中市沙鹿區光榮街83巷
182,機車竊盜,1050615,2200,臺中市大雅區中清路四段70巷口
183,機車竊盜,1050616,1800,臺中市梧棲區大仁路2段353巷
184,機車竊盜,1050617,1000,臺中市烏日區環中路7段
185,機車竊盜,1050617,1311,臺中市北屯區環東路1段
186,機車竊盜,1050618,0500,臺中市和平區臺七甲線
187,機車竊盜,1050618,1930,臺中市霧峰區吉豐東路
188,機車竊盜,1050619,0353,臺中市大雅區中清東路
189,機車竊盜,1050620,0100,臺中市西屯區上石北二巷
190,機車竊盜,1050620,0326,臺中市霧峰區五福里010鄰五福路
191,機車竊盜,1050620,0700,臺中市沙鹿區四平街42巷
192,機車竊盜,1050620,1330,臺中市北區公園路
193,機車竊盜,1050621,1640,臺中市沙鹿區四平街
194,機車竊盜,1050621,1930,臺中市梧棲區台灣大道8段
195,機車竊盜,1050622,0200,臺中市西屯區文心路2段
196,機車竊盜,1050622,0210,臺中市沙鹿區四平街42巷
197,機車竊盜,1050622,1000,臺中市大雅區中清東路
198,機車竊盜,1050623,1400,臺中市太平區正誠街
199,機車竊盜,1050623,1930,臺中市北區原子街與中央街口
200,機車竊盜,1050624,1907,臺中市清水區中山路
201,機車竊盜,1050625,1930,臺中市北區公園路
202,機車竊盜,1050625,1954,臺中市北屯區崇德五路與河北路口
203,機車竊盜,1050625,2100,臺中市大雅區信義路45巷
204,機車竊盜,1050626,0838,臺中市大里區益民路1段
205,機車竊盜,1050626,1121,臺中市大里區內新里新光路
206,機車竊盜,1050627,0050,臺中市東勢區中寧里正五街2號
207,機車竊盜,1050627,0535,臺中市大里區新仁七街
208,機車竊盜,1050628,2108,臺中市西屯區福聯街22巷
209,機車竊盜,1050629,0640,臺中市龍井區麗水里臨港路1段
210,機車竊盜,1050630,0000,臺中市西屯區臺灣大道4段
211,機車竊盜,1050630,0100,臺中市南屯區春安二街與建功路
212,機車竊盜,1050630,0707,臺中市龍井區東海街41巷
213,機車竊盜,1050701,0730,臺中市大里區新里里014鄰新興路將軍二巷
214,機車竊盜,1050701,1700,臺中市大里區立德里立仁一路
215,機車竊盜,1050701,2012,臺中市西屯區青海路2段
216,機車竊盜,1050702,0000,臺中市西屯區大墩路
217,機車竊盜,1050702,0531,臺中市霧峰區南柳里柳豐二街
218,機車竊盜,1050702,0600,臺中市大里區中興路2段
219,機車竊盜,1050702,1600,臺中市北屯區中清路2段515巷
220,機車竊盜,1050702,1900,臺中市北區文心路4段
221,機車竊盜,1050704,1700,臺中市清水區海濱路
222,機車竊盜,1050705,1713,臺中市龍井區台西南路
223,機車竊盜,1050707,0240,臺中市霧峰區中正路924巷
224,機車竊盜,1050708,0200,臺中市大里區中興路1段
225,機車竊盜,1050708,1900,臺中市大里區東里路
226,機車竊盜,1050710,1630,臺中市西屯區臺灣大道3段
227,機車竊盜,1050710,2050,臺中市南區崇倫北街
228,機車竊盜,1050711,2100,臺中市大肚區興和路185巷
229,機車竊盜,1050711,2200,臺中市沙鹿區北勢東路
230,機車竊盜,1050712,0030,臺中市大肚區沙田路3段
231,機車竊盜,1050712,0230,臺中市沙鹿區興安路
232,機車竊盜,1050712,1600,臺中市豐原區富陽路
233,機車竊盜,1050712,2100,臺中市西屯區重慶路
234,機車竊盜,1050713,1200,臺中市清水區臨港路
235,機車竊盜,1050714,0100,臺中市北屯區河北路與大連路口
236,機車竊盜,1050714,0635,臺中市大里區新生路126巷口
237,機車竊盜,1050715,0015,臺中市南區國光里027鄰仁和路
238,機車竊盜,1050715,0158,臺中市西屯區工業區一路72巷
239,機車竊盜,1050715,0530,臺中市外埔區水美路116巷
240,機車竊盜,1050715,1300,臺中市西區自由路1段
241,機車竊盜,1050715,1900,臺中市大里區長興一街
242,機車竊盜,1050716,0800,臺中市西屯區市政北一路
243,機車竊盜,1050716,1550,臺中市西屯區惠來路市政北七路口
244,機車竊盜,1050716,2240,臺中市豐原區豐東路與向陽路
245,機車竊盜,1050717,1300,臺中市大里區東文街
246,機車竊盜,1050718,0725,臺中市神岡區豐社路
247,機車竊盜,1050718,2000,臺中市北區尊賢街
248,機車竊盜,1050719,0059,臺中市東區富台街
249,機車竊盜,1050720,1639,臺中市北區英才路
250,機車竊盜,1050720,1850,臺中市沙鹿區台灣大道6段1105巷
251,機車竊盜,1050721,1545,臺中市大里區環中東路6段216巷
252,機車竊盜,1050721,2010,臺中市南區復興路2段
253,機車竊盜,1050721,2121,臺中市西區大新街、大全街
254,機車竊盜,1050721,2330,臺中市大里區立新街
255,機車竊盜,1050722,0500,臺中市大里區東文街105巷口
256,機車竊盜,1050723,0100,臺中市北區中清路一段
257,機車竊盜,1050723,0510,臺中市中區成功路
258,機車竊盜,1050723,1840,臺中市中區公園路
259,機車竊盜,1050723,2100,臺中市東區公園東路、雙十路口
260,機車竊盜,1050724,1600,臺中市大里區大里里07鄰大里街7巷
261,機車竊盜,1050725,2100,臺中市霧峰區中正路1265巷
262,機車竊盜,1050725,2200,臺中市大里區益民路1段112巷
263,機車竊盜,1050726,1537,臺中市中區公園路
264,機車竊盜,1050727,1800,臺中市烏日區高鐵東路
265,機車竊盜,1050728,1850,臺中市北區中清路1段
266,機車竊盜,1050728,2000,臺中市大里區中興路2段
267,機車竊盜,1050728,2330,臺中市北區美德街18巷
268,機車竊盜,1050729,0100,臺中市大里區萬安路
269,機車竊盜,1050729,0159,臺中市北屯區軍福十六路
270,機車竊盜,1050729,0700,臺中市南區建國南路1段
271,機車竊盜,1050730,0317,臺中市南區南和二街
272,機車竊盜,1050730,0400,臺中市西屯區大有二街
273,機車竊盜,1050730,0800,臺中市大肚區大新街84巷
274,機車竊盜,1050730,2217,臺中市大甲區仁愛街
275,機車竊盜,1050731,2030,臺中市烏日區高鐵東路與建國路路橋下方
276,機車竊盜,1050731,2148,臺中市龍井區中央路3段
277,機車竊盜,1050801,1330,臺中市西區自由路與居仁路口
278,機車竊盜,1050801,1753,臺中市大里區東文街
279,機車竊盜,1050801,1926,臺中市大里區益民路2段164巷
280,機車竊盜,1050801,2000,臺中市中區中山路
281,機車竊盜,1050802,0000,臺中市南屯區嶺東路
282,機車竊盜,1050803,0049,臺中市烏日區中山路1段
283,機車竊盜,1050803,1320,臺中市大里區大明路
284,機車竊盜,1050805,0000,臺中市西區康樂街
285,機車竊盜,1050805,0000,臺中市南屯區成功嶺三號門
286,機車竊盜,1050806,0100,臺中市豐原區源豐路
287,機車竊盜,1050808,1145,臺中市北屯區?子路
288,機車竊盜,1050808,2000,臺中市烏日區光日路
289,機車竊盜,1050810,1400,臺中市豐原區中興路
290,機車竊盜,1050811,1948,臺中市西屯區臺灣大道4段
291,機車竊盜,1050812,0447,臺中市烏日區高鐵東一路
292,機車竊盜,1050814,2030,臺中市新社區華豐三街113巷
293,機車竊盜,1050815,0100,臺中市沙鹿區大同街24巷
294,機車竊盜,1050815,2104,臺中市北區民權路
295,機車竊盜,1050816,1250,臺中市西屯區西屯路2段華園巷
296,機車竊盜,1050817,1238,臺中市北屯區北平路3段
297,機車竊盜,1050820,0631,臺中市豐原區三豐路877巷
298,機車竊盜,1050821,2335,臺中市西區精美路
299,機車竊盜,1050822,0430,臺中市大雅區中青路四段
300,機車竊盜,1050822,0504,臺中市西屯區至善路234巷
301,機車竊盜,1050822,0840,臺中市太平區永安街口
302,機車竊盜,1050822,1600,臺中市南屯區永定里南美街
303,機車竊盜,1050822,2330,臺中市烏日區文德街
304,機車竊盜,1050823,1740,臺中市北屯區長生巷
305,機車竊盜,1050823,2100,臺中市太平區中興東路
306,機車竊盜,1050824,0100,臺中市中區自由路2段
