編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
118,自行車竊盜,1050804,1310,臺中市清水區星海路,105,2016-08-04,13,自行車竊盜,1,清水區
119,自行車竊盜,1050807,1330,臺中市神岡區中山路,105,2016-08-07,13,自行車竊盜,1,神岡區
120,自行車竊盜,1050810,938,臺中市南區國光路,105,2016-08-10,9,自行車竊盜,1,南區
121,自行車竊盜,1050810,1747,臺中市大里區東湖里東南路,105,2016-08-10,17,自行車竊盜,1,大里區
122,自行車竊盜,1050811,1525,臺中市大里區至善路,105,2016-08-11,15,自行車竊盜,1,大里區
123,自行車竊盜,1050812,631,臺中市北區崇德路,105,2016-08-12,6,自行車竊盜,1,北區
124,自行車竊盜,1050812,720,臺中市北區崇德路與健行路口,105,2016-08-12,7,自行車竊盜,1,北區
125,自行車竊盜,1050815,1808,臺中市南區興大路301巷,105,2016-08-15,18,自行車竊盜,1,南區
126,自行車竊盜,1050820,253,臺中市北區德化街,105,2016-08-20,2,自行車竊盜,1,北區
127,自行車竊盜,1050821,320,臺中市西區中美街,105,2016-08-21,3,自行車竊盜,1,西區
128,自行車竊盜,1050821,2300,臺中市西屯區大墩十七街,105,2016-08-21,23,自行車竊盜,1,西屯區
129,自行車竊盜,1050823,800,臺中市神岡區中正南街,105,2016-08-23,8,自行車竊盜,1,神岡區
130,自行車竊盜,1050823,1700,臺中市大里區大智路565巷,105,2016-08-23,17,自行車竊盜,1,大里區
131,自行車竊盜,1050825,1230,臺中市梧棲區大庄里台灣大道路8段,105,2016-08-25,12,自行車竊盜,1,梧棲區
132,自行車竊盜,1050827,211,臺中市南區復興路2段157巷,105,2016-08-27,2,自行車竊盜,1,南區
133,自行車竊盜,1050827,930,臺中市大甲區順天路,105,2016-08-27,9,自行車竊盜,1,大甲區
134,自行車竊盜,1050828,1920,臺中市北區三民路3段,105,2016-08-28,19,自行車竊盜,1,北區
135,自行車竊盜,1050831,1107,臺中市西區博館路,105,2016-08-31,11,自行車竊盜,1,西區
136,自行車竊盜,1050903,825,臺中市東區信義街218巷,105,2016-09-03,8,自行車竊盜,1,東區
137,自行車竊盜,1050907,511,臺中市大甲區中山路1段,105,2016-09-07,5,自行車竊盜,1,大甲區
138,自行車竊盜,1050908,1950,臺中市北區金龍街,105,2016-09-08,19,自行車竊盜,1,北區
139,自行車竊盜,1050913,1050,臺中市大里區向學一路58巷,105,2016-09-13,10,自行車竊盜,1,大里區
140,自行車竊盜,1050915,2157,臺中市西屯區逢甲路,105,2016-09-15,21,自行車竊盜,1,西屯區
141,自行車竊盜,1050916,1840,臺中市大甲區火車站停車場,105,2016-09-16,18,自行車竊盜,1,大甲區
142,自行車竊盜,1050920,2200,臺中市沙鹿區臺灣大道7段,105,2016-09-20,22,自行車竊盜,1,沙鹿區
143,自行車竊盜,1050921,1638,臺中市西屯區天水西一街,105,2016-09-21,16,自行車竊盜,1,西屯區
144,自行車竊盜,1050924,1110,臺中市大里區日新路,105,2016-09-24,11,自行車竊盜,1,大里區
145,自行車竊盜,1050924,2340,臺中市南區國光路,105,2016-09-24,23,自行車竊盜,1,南區
146,自行車竊盜,1050925,322,臺中市西屯區上石里西屯路二段249之9巷,105,2016-09-25,3,自行車竊盜,1,西屯區
147,自行車竊盜,1050925,341,臺中市大里區永隆路,105,2016-09-25,3,自行車竊盜,1,大里區
148,自行車竊盜,1050925,707,臺中市大里區鳳凰路,105,2016-09-25,7,自行車竊盜,1,大里區
149,自行車竊盜,1050927,210,臺中市北區篤行路,105,2016-09-27,2,自行車竊盜,1,北區
150,自行車竊盜,1051002,421,臺中市西區永達街,105,2016-10-02,4,自行車竊盜,1,西區
151,自行車竊盜,1051004,2215,臺中市南區高工路,105,2016-10-04,22,自行車竊盜,1,南區
152,自行車竊盜,1051006,824,臺中市西屯區大河里美滿街,105,2016-10-06,8,自行車竊盜,1,西屯區
153,自行車竊盜,1051006,2130,臺中市北區錦新街,105,2016-10-06,21,自行車竊盜,1,北區
154,自行車竊盜,1051012,515,臺中市北屯區大連西路56巷,105,2016-10-12,5,自行車竊盜,1,北屯區
155,自行車竊盜,1051014,1555,臺中市豐原區中興路79巷,105,2016-10-14,15,自行車竊盜,1,豐原區
156,自行車竊盜,1051017,1000,臺中市北區文化街,105,2016-10-17,10,自行車竊盜,1,北區
157,自行車竊盜,1051018,450,臺中市沙鹿區鎮南路2段永福巷,105,2016-10-18,4,自行車竊盜,1,沙鹿區
158,自行車竊盜,1051021,1800,臺中市潭子區中山路2段,105,2016-10-21,18,自行車竊盜,1,潭子區
159,自行車竊盜,1051022,1229,臺中市南區學府路,105,2016-10-22,12,自行車竊盜,1,南區
160,自行車竊盜,1051024,233,臺中市南區信義南街,105,2016-10-24,2,自行車竊盜,1,南區
161,自行車竊盜,1051027,1800,臺中市北屯區中清路1段,105,2016-10-27,18,自行車竊盜,1,北屯區
162,自行車竊盜,1051028,2150,臺中市北屯區大德里中清路2段,105,2016-10-28,21,自行車竊盜,1,北屯區
163,自行車竊盜,1051029,1057,臺中市南區國光路,105,2016-10-29,10,自行車竊盜,1,南區
164,自行車竊盜,1051029,1808,臺中市潭子區甘蔗里12鄰雅潭路1段,105,2016-10-29,18,自行車竊盜,1,潭子區
165,自行車竊盜,1051101,1800,臺中市大雅區中清東路與民生路1段,105,2016-11-01,18,自行車竊盜,1,大雅區
166,自行車竊盜,1051106,146,臺中市大里區仁化路,105,2016-11-06,1,自行車竊盜,1,大里區
167,自行車竊盜,1051108,300,臺中市北區健行路,105,2016-11-08,3,自行車竊盜,1,北區
168,自行車竊盜,1051116,2130,臺中市清水區?榔里民安路,105,2016-11-16,21,自行車竊盜,1,清水區
169,自行車竊盜,1051118,1740,臺中市大肚區追分街,105,2016-11-18,17,自行車竊盜,1,大肚區
170,自行車竊盜,1051119,1154,臺中市北屯區軍功路1段,105,2016-11-19,11,自行車竊盜,1,北屯區
171,自行車竊盜,1051122,1638,臺中市西區梅川西路、民生路,105,2016-11-22,16,自行車竊盜,1,西區
172,自行車竊盜,1051123,645,臺中市北區崇德路1段,105,2016-11-23,6,自行車竊盜,1,北區
173,自行車竊盜,1051125,338,臺中市南屯區春社里永春路,105,2016-11-25,3,自行車竊盜,1,南屯區
174,自行車竊盜,1051125,359,臺中市南屯區黎明里干城街196巷,105,2016-11-25,3,自行車竊盜,1,南屯區
175,自行車竊盜,1051128,220,臺中市后里區甲后路,105,2016-11-28,2,自行車竊盜,1,后里區
176,自行車竊盜,1051205,421,臺中市北區忠明路,105,2016-12-05,4,自行車竊盜,1,北區
177,自行車竊盜,1051205,710,臺中市清水區中山路,105,2016-12-05,7,自行車竊盜,1,清水區
178,自行車竊盜,1051205,1800,臺中市北屯區后庄里36鄰中清路2段,105,2016-12-05,18,自行車竊盜,1,北屯區
179,自行車竊盜,1051206,1705,臺中市大里區上興街2段,105,2016-12-06,17,自行車竊盜,1,大里區
180,自行車竊盜,1051209,2243,臺中市北區篤行路,105,2016-12-09,22,自行車竊盜,1,北區
181,自行車竊盜,1051213,928,臺中市南區大慶街2段6-16巷,105,2016-12-13,9,自行車竊盜,1,南區
182,自行車竊盜,1051213,1220,臺中市南區大慶街2段6之16巷,105,2016-12-13,12,自行車竊盜,1,南區
183,自行車竊盜,1051215,840,臺中市梧棲區梧北路2巷,105,2016-12-15,8,自行車竊盜,1,梧棲區
