編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
77,汽車竊盜,1050421,2300,臺中市大甲區順帆路121巷,105,2016-04-21,23,汽車竊盜,1,大甲區
78,汽車竊盜,1050422,622,臺中市南屯區惠中里文心路1段,105,2016-04-22,6,汽車竊盜,1,南屯區
79,汽車竊盜,1050423,410,臺中市豐原區大社街,105,2016-04-23,4,汽車竊盜,1,豐原區
80,汽車竊盜,1050425,700,臺中市太平區中山路2段350巷,105,2016-04-25,7,汽車竊盜,1,太平區
81,汽車竊盜,1050425,1130,臺中市太平區長龍路1段,105,2016-04-25,11,汽車竊盜,1,太平區
82,汽車竊盜,1050426,1700,臺中市新社區台21線14。5k,105,2016-04-26,17,汽車竊盜,1,新社區
83,汽車竊盜,1050427,1600,臺中市豐原區市政路,105,2016-04-27,16,汽車竊盜,1,豐原區
84,汽車竊盜,1050428,21,臺中市太平區中山路2段,105,2016-04-28,0,汽車竊盜,1,太平區
85,汽車竊盜,1050428,630,臺中市東區復興路4段,105,2016-04-28,6,汽車竊盜,1,東區
86,汽車竊盜,1050428,800,臺中市東區十甲路,105,2016-04-28,8,汽車竊盜,1,東區
87,汽車竊盜,1050428,1600,臺中市大雅區通山路,105,2016-04-28,16,汽車竊盜,1,大雅區
88,汽車竊盜,1050428,2227,臺中市東區東光路200巷,105,2016-04-28,22,汽車竊盜,1,東區
89,汽車竊盜,1050429,2200,臺中市豐原區北陽路,105,2016-04-29,22,汽車竊盜,1,豐原區
90,汽車竊盜,1050430,1700,臺中市北屯區東光里活動中心旁,105,2016-04-30,17,汽車竊盜,1,北屯區
91,汽車竊盜,1050501,1200,臺中市北區成功路,105,2016-05-01,12,汽車竊盜,1,北區
92,汽車竊盜,1050501,1200,臺中市烏日區新興路,105,2016-05-01,12,汽車竊盜,1,烏日區
93,汽車竊盜,1050504,1910,臺中市大里區中興路2段新生西路,105,2016-05-04,19,汽車竊盜,1,大里區
94,汽車竊盜,1050506,1740,臺中市沙鹿區台灣大道7段286巷,105,2016-05-06,17,汽車竊盜,1,沙鹿區
95,汽車竊盜,1050507,1830,臺中市大雅區神林南路292巷,105,2016-05-07,18,汽車竊盜,1,大雅區
96,汽車竊盜,1050507,1900,臺中市豐原區豐原大道四段,105,2016-05-07,19,汽車竊盜,1,豐原區
97,汽車竊盜,1050511,1318,臺中市中區民權路,105,2016-05-11,13,汽車竊盜,1,中區
98,汽車竊盜,1050512,1800,臺中市霧峰區中正路660巷,105,2016-05-12,18,汽車竊盜,1,霧峰區
99,汽車竊盜,1050513,1630,臺中市北屯區同榮里同榮一街,105,2016-05-13,16,汽車竊盜,1,北屯區
100,汽車竊盜,1050514,1400,臺中市北屯區文昌東八街,105,2016-05-14,14,汽車竊盜,1,北屯區
101,汽車竊盜,1050515,747,臺中市西屯區漢口路2段,105,2016-05-15,7,汽車竊盜,1,西屯區
102,汽車竊盜,1050515,1015,臺中市中區公園路,105,2016-05-15,10,汽車竊盜,1,中區
103,汽車竊盜,1050516,1900,臺中市和平區東關路3段,105,2016-05-16,19,汽車竊盜,1,和平區
104,汽車竊盜,1050518,1600,臺中市南屯區文心南、文心南五路,105,2016-05-18,16,汽車竊盜,1,南屯區
105,汽車竊盜,1050520,236,臺中市大甲區青一路2巷,105,2016-05-20,2,汽車竊盜,1,大甲區
106,汽車竊盜,1050523,1900,臺中市北屯區太和三街與建平路,105,2016-05-23,19,汽車竊盜,1,北屯區
107,汽車竊盜,1050524,803,臺中市清水區橋頭里民有路,105,2016-05-24,8,汽車竊盜,1,清水區
108,汽車竊盜,1050526,1518,臺中市太平區永成西路,105,2016-05-26,15,汽車竊盜,1,太平區
109,汽車竊盜,1050530,610,臺中市西屯區協和里安和路,105,2016-05-30,6,汽車竊盜,1,西屯區
110,汽車竊盜,1050530,950,臺中市后里區成功與甲后路,105,2016-05-30,9,汽車竊盜,1,后里區
111,汽車竊盜,1050530,1030,臺中市南屯區江和街,105,2016-05-30,10,汽車竊盜,1,南屯區
112,汽車竊盜,1050603,1140,臺中市豐原區陽明里中興路29巷,105,2016-06-03,11,汽車竊盜,1,豐原區
113,汽車竊盜,1050604,600,臺中市西屯區市政北七路與朝富路,105,2016-06-04,6,汽車竊盜,1,西屯區
114,汽車竊盜,1050610,235,臺中市西區民生路,105,2016-06-10,2,汽車竊盜,1,西區
115,汽車竊盜,1050611,810,臺中市太平區宜昌東路,105,2016-06-11,8,汽車竊盜,1,太平區
116,汽車竊盜,1050612,903,臺中市東區東英路429巷,105,2016-06-12,9,汽車竊盜,1,東區
117,汽車竊盜,1050613,740,臺中市豐原區北陽路450巷,105,2016-06-13,7,汽車竊盜,1,豐原區
118,汽車竊盜,1050614,200,臺中市大里區瓦瑤路56巷,105,2016-06-14,2,汽車竊盜,1,大里區
119,汽車竊盜,1050617,1430,臺中市大雅區空軍基地旁和平新路邊,105,2016-06-17,14,汽車竊盜,1,大雅區
120,汽車竊盜,1050618,530,臺中市太平區振福路476巷,105,2016-06-18,5,汽車竊盜,1,太平區
121,汽車竊盜,1050619,0,臺中市潭子區新興路1段288巷,105,2016-06-19,0,汽車竊盜,1,潭子區
122,汽車竊盜,1050622,800,臺中市龍井區中沙路164巷,105,2016-06-22,8,汽車竊盜,1,龍井區
123,汽車竊盜,1050623,2100,臺中市梧棲區中正路,105,2016-06-23,21,汽車竊盜,1,梧棲區
124,汽車竊盜,1050628,200,臺中市大雅區永和路,105,2016-06-28,2,汽車竊盜,1,大雅區
125,汽車竊盜,1050630,700,臺中市大雅區中清路五段,105,2016-06-30,7,汽車竊盜,1,大雅區
126,汽車竊盜,1050630,2130,臺中市烏日區大同九街與民權街,105,2016-06-30,21,汽車竊盜,1,烏日區
127,汽車竊盜,1050702,900,臺中市西屯區西屯路二段,105,2016-07-02,9,汽車竊盜,1,西屯區
128,汽車竊盜,1050703,1930,臺中市南屯區春社里忠勇路,105,2016-07-03,19,汽車竊盜,1,南屯區
129,汽車竊盜,1050705,350,臺中市梧棲區中央路2段,105,2016-07-05,3,汽車竊盜,1,梧棲區
130,汽車竊盜,1050705,2300,臺中市潭子區潭興路二段332巷,105,2016-07-05,23,汽車竊盜,1,潭子區
