date,hour,location,district,crime_category,is_valid
2016-06-30,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1
2016-06-30,1,臺中市南屯區春安二街與建功路,南屯區,機車竊盜,1
2016-06-30,7,臺中市龍井區東海街41巷,龍井區,機車竊盜,1
2016-07-01,7,臺中市大里區新里里014鄰新興路將軍二巷,大里區,機車竊盜,1
2016-07-01,17,臺中市大里區立德里立仁一路,大里區,機車竊盜,1
2016-07-01,20,臺中市西屯區青海路2段,西屯區,機車竊盜,1
2016-07-02,0,臺中市西屯區大墩路,西屯區,機車竊盜,1
2016-07-02,5,臺中市霧峰區南柳里柳豐二街,霧峰區,機車竊盜,1
2016-07-02,6,臺中市大里區中興路2段,大里區,機車竊盜,1
2016-07-02,16,臺中市北屯區中清路2段515巷,北屯區,機車竊盜,1
2016-07-02,19,臺中市北區文心路4段,北區,機車竊盜,1
2016-07-04,17,臺中市清水區海濱路,清水區,機車竊盜,1
2016-07-05,17,臺中市龍井區台西南路,龍井區,機車竊盜,1
2016-07-07,2,臺中市霧峰區中正路924巷,霧峰區,機車竊盜,1
2016-07-08,2,臺中市大里區中興路1段,大里區,機車竊盜,1
2016-07-08,19,臺中市大里區東里路,大里區,機車竊盜,1
2016-07-10,16,臺中市西屯區臺灣大道3段,西屯區,機車竊盜,1
2016-07-10,20,臺中市南區崇倫北街,南區,機車竊盜,1
2016-07-11,21,臺中市大肚區興和路185巷,大肚區,機車竊盜,1
2016-07-11,22,臺中市沙鹿區北勢東路,沙鹿區,機車竊盜,1
2016-07-12,0,臺中市大肚區沙田路3段,大肚區,機車竊盜,1
2016-07-12,2,臺中市沙鹿區興安路,沙鹿區,機車竊盜,1
2016-07-12,16,臺中市豐原區富陽路,豐原區,機車竊盜,1
2016-07-12,21,臺中市西屯區重慶路,西屯區,機車竊盜,1
2016-07-13,12,臺中市清水區臨港路,清水區,機車竊盜,1
2016-07-14,1,臺中市北屯區河北路與大連路口,北屯區,機車竊盜,1
2016-07-14,6,臺中市大里區新生路126巷口,大里區,機車竊盜,1
2016-07-15,0,臺中市南區國光里027鄰仁和路,南區,機車竊盜,1
2016-07-15,1,臺中市西屯區工業區一路72巷,西屯區,機車竊盜,1
2016-07-15,5,臺中市外埔區水美路116巷,外埔區,機車竊盜,1
2016-07-15,13,臺中市西區自由路1段,西區,機車竊盜,1
2016-07-15,19,臺中市大里區長興一街,大里區,機車竊盜,1
2016-07-16,8,臺中市西屯區市政北一路,西屯區,機車竊盜,1
2016-07-16,15,臺中市西屯區惠來路市政北七路口,西屯區,機車竊盜,1
2016-07-16,22,臺中市豐原區豐東路與向陽路,豐原區,機車竊盜,1
2016-07-17,13,臺中市大里區東文街,大里區,機車竊盜,1
2016-07-18,7,臺中市神岡區豐社路,神岡區,機車竊盜,1
2016-07-18,20,臺中市北區尊賢街,北區,機車竊盜,1
2016-07-19,0,臺中市東區富台街,東區,機車竊盜,1
2016-07-20,16,臺中市北區英才路,北區,機車竊盜,1
2016-07-20,18,臺中市沙鹿區台灣大道6段1105巷,沙鹿區,機車竊盜,1
2016-07-21,15,臺中市大里區環中東路6段216巷,大里區,機車竊盜,1
2016-07-21,20,臺中市南區復興路2段,南區,機車竊盜,1
2016-07-21,21,臺中市西區大新街、大全街,西區,機車竊盜,1
2016-07-21,23,臺中市大里區立新街,大里區,機車竊盜,1
2016-07-22,5,臺中市大里區東文街105巷口,大里區,機車竊盜,1
2016-07-23,1,臺中市北區中清路一段,北區,機車竊盜,1
2016-07-23,5,臺中市中區成功路,中區,機車竊盜,1
2016-07-23,18,臺中市中區公園路,中區,機車竊盜,1
2016-07-23,21,臺中市東區公園東路、雙十路口,東區,機車竊盜,1
2016-07-24,16,臺中市大里區大里里07鄰大里街7巷,大里區,機車竊盜,1
2016-07-25,21,臺中市霧峰區中正路1265巷,霧峰區,機車竊盜,1
2016-07-25,22,臺中市大里區益民路1段112巷,大里區,機車竊盜,1
2016-07-26,15,臺中市中區公園路,中區,機車竊盜,1
2016-07-27,18,臺中市烏日區高鐵東路,烏日區,機車竊盜,1
2016-07-28,18,臺中市北區中清路1段,北區,機車竊盜,1
2016-07-28,20,臺中市大里區中興路2段,大里區,機車竊盜,1
2016-07-28,23,臺中市北區美德街18巷,北區,機車竊盜,1
2016-07-29,1,臺中市大里區萬安路,大里區,機車竊盜,1
2016-07-29,1,臺中市北屯區軍福十六路,北屯區,機車竊盜,1
2016-07-29,7,臺中市南區建國南路1段,南區,機車竊盜,1
2016-07-30,3,臺中市南區南和二街,南區,機車竊盜,1
2016-07-30,4,臺中市西屯區大有二街,西屯區,機車竊盜,1
2016-07-30,8,臺中市大肚區大新街84巷,大肚區,機車竊盜,1
2016-07-30,22,臺中市大甲區仁愛街,大甲區,機車竊盜,1
2016-07-31,20,臺中市烏日區高鐵東路與建國路路橋下方,烏日區,機車竊盜,1
2016-07-31,21,臺中市龍井區中央路3段,龍井區,機車竊盜,1
2016-08-01,13,臺中市西區自由路與居仁路口,西區,機車竊盜,1
2016-08-01,17,臺中市大里區東文街,大里區,機車竊盜,1
2016-08-01,19,臺中市大里區益民路2段164巷,大里區,機車竊盜,1
2016-08-01,20,臺中市中區中山路,中區,機車竊盜,1
2016-08-02,0,臺中市南屯區嶺東路,南屯區,機車竊盜,1
2016-08-03,0,臺中市烏日區中山路1段,烏日區,機車竊盜,1
2016-08-03,13,臺中市大里區大明路,大里區,機車竊盜,1
2016-08-05,0,臺中市西區康樂街,西區,機車竊盜,1
2016-08-05,0,臺中市南屯區成功嶺三號門,南屯區,機車竊盜,1
2016-08-06,1,臺中市豐原區源豐路,豐原區,機車竊盜,1
2016-08-08,11,臺中市北屯區?子路,北屯區,機車竊盜,1
2016-08-08,20,臺中市烏日區光日路,烏日區,機車竊盜,1
2016-08-10,14,臺中市豐原區中興路,豐原區,機車竊盜,1
2016-08-11,19,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1
2016-08-12,4,臺中市烏日區高鐵東一路,烏日區,機車竊盜,1
