date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-04-22,19,臺中市北區金龍街,北區,機車竊盜,1,24.1643080808444,120.67686703300485,jittered
2016-04-23,1,臺中市東勢區東蘭路永盛巷,東勢區,機車竊盜,1,24.244529617458742,120.83966681808229,jittered
2016-04-23,9,臺中市南區大慶街2段,南區,機車竊盜,1,24.12189631154838,120.66003341325995,jittered
2016-04-23,12,臺中市后里區雲頭路農業道路,后里區,機車竊盜,1,24.295964538203542,120.71153278845753,jittered
2016-04-24,13,臺中市北區原子街,北區,機車竊盜,1,24.157426167561397,120.6902172041601,jittered
2016-04-25,7,臺中市中區台灣大道,中區,機車竊盜,1,24.14131276206936,120.67951849583915,jittered
2016-04-25,11,臺中市豐原區向陽路6巷,豐原區,機車竊盜,1,24.246000010008043,120.72389173574899,jittered
2016-04-27,12,臺中市西區華美西街1段,西區,機車竊盜,1,24.130427131732375,120.66617443520506,jittered
2016-04-27,20,臺中市中區民權、市府路,中區,機車竊盜,1,24.14188975665184,120.67614777867003,jittered
2016-04-28,4,臺中市潭子區豐興路1段,潭子區,機車竊盜,1,24.21295200889971,120.70715775786812,jittered
2016-04-28,21,臺中市北區公園路自由路口,北區,機車竊盜,1,24.1581125909163,120.68956948776835,jittered
2016-04-29,3,臺中市中區民權路,中區,機車竊盜,1,24.139484775701924,120.6785055763181,jittered
2016-05-01,6,臺中市梧棲區文華街118巷,梧棲區,機車竊盜,1,24.253317634083018,120.54192942995257,jittered
2016-05-01,8,臺中市梧棲區文華街28巷,梧棲區,機車竊盜,1,24.245513580119457,120.54078210687445,jittered
2016-05-02,15,臺中市潭子區祥和路,潭子區,機車竊盜,1,24.207492530967713,120.70441272541514,jittered
2016-05-02,17,臺中市太平區新平路3段346巷,太平區,機車竊盜,1,24.143161632309095,120.73238371067552,jittered
2016-05-03,6,臺中市北屯區平田里遼陽北一街,北屯區,機車竊盜,1,24.195005159134237,120.703714511402,jittered
